date,day_of_week,row_count,null_rate,avg_amount,mean_text_length,embedding_norm_mean
2026-07-17,4,568,0.00421,73.31,16.91,0.9794
2026-07-18,5,247,0.00564,69.38,15.94,0.9742
2026-07-19,6,270,0.00304,71.87,14.53,0.995
2026-07-20,0,639,0.00377,77.97,16.96,1.0223
2026-07-21,1,594,0.00088,59.93,15.82,0.9622
2026-07-22,2,588,0.00296,72.63,13.86,1.02
2026-07-23,3,640,0.00657,69.61,14.07,0.9923
2026-07-24,4,642,0.00173,62.66,13.65,1.0691
2026-07-25,5,262,0.00326,68.03,16.32,0.9778
2026-07-26,6,246,0.00314,68.64,14.44,1.0307
2026-07-27,0,651,0.00483,66.22,13.23,1.0088
2026-07-28,1,591,0.00296,73.35,13.02,0.9909
2026-07-29,2,565,0.00386,68.33,16.36,1.0295
2026-07-30,3,638,0.00564,68.4,15.59,0.9944
2026-07-31,4,638,0.00188,82.48,16.7,1.0183
2026-08-01,5,268,0.00249,77.62,14.09,1.0244
2026-08-02,6,265,0.00428,66.9,16.37,0.9837
2026-08-03,0,605,0.00522,71.89,16.45,1.007
2026-08-04,1,625,0.0045,65.19,13.18,1.0486
2026-08-05,2,623,0.00124,72.21,15.14,0.9837
2026-08-06,3,622,0.00629,74.13,16.37,0.9682
2026-08-07,4,603,0.00317,64.95,15.28,1.0252
2026-08-08,5,235,0.00808,66.24,15.28,1.0169
2026-08-09,6,244,0.00222,73.9,15.25,1.0358
2026-08-10,0,603,0.00424,79.68,14.09,0.9739
2026-08-11,1,618,0.005,66.86,15.88,1.0108
2026-08-12,2,626,0.00475,77.0,16.07,1.0362
2026-08-13,3,621,0.0042,73.4,14.42,1.0018
2026-08-14,4,597,0.00469,65.94,13.6,1.0155
2026-08-15,5,235,0.00583,72.94,14.87,1.0014
2026-08-16,6,259,0.00362,68.02,14.75,1.0097
2026-08-17,0,579,0.00295,71.24,13.15,0.9911
2026-08-18,1,620,0.00213,70.29,14.93,1.0179
2026-08-19,2,567,0.00414,71.34,13.19,0.9958
2026-08-20,3,598,0.00264,67.15,14.26,1.011
2026-08-21,4,567,0.00527,73.61,14.76,1.0474
2026-08-22,5,258,0.00635,70.39,15.14,1.008
2026-08-23,6,274,0.00459,71.9,14.74,0.9974
2026-08-24,0,573,0.00442,67.84,16.71,0.9861
2026-08-25,1,625,0.00604,69.23,16.09,0.9978
2026-08-26,2,588,0.00373,69.06,16.04,1.0232
2026-08-27,3,584,0.00371,74.83,15.44,0.9968
